Initial Solid Degradable Fraction,Placement Dry Density,Placement Moisture Content,Maximum Hydrolysis Rate,Thermal Conductivity,Specific Heat Capacity,Injection Pressure,Injection Duration,Time,Methane Generation,Max Temp
36.4,653.7,43.5,2500,0.5,1649.6,0,0,20.474,100.9017862,42.093405
36.4,653.7,43.5,2500,0.5,1649.6,0,0,20.613,100.9083603,41.684981
36.4,653.7,43.5,2500,0.5,1649.6,0,0,20.753,100.917536,41.286724
36.4,653.7,43.5,2500,0.5,1649.6,0,0,20.892,100.9246305,40.897981
36.4,653.7,43.5,2500,0.5,1649.6,0,0,21.031,100.9279325,40.51509
36.4,653.7,43.5,2500,0.5,1649.6,0,0,21.17,100.9297837,40.137427
36.4,653.7,43.5,2500,0.5,1649.6,0,0,21.31,100.9313246,39.764492
36.4,653.7,43.5,2500,0.5,1649.6,0,0,21.449,100.9330857,39.402984
36.4,653.7,43.5,2500,0.5,1649.6,0,0,21.588,100.9369581,39.050728
36.4,653.7,43.5,2500,0.5,1649.6,0,0,21.728,100.9435623,38.704817
36.4,653.7,43.5,2500,0.5,1649.6,0,0,21.867,100.9492058,38.379576
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.006,100.9516473,38.059535
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.145,100.9526379,37.743824
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.285,100.9533784,37.430779
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.424,100.9542189,37.126148
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.563,100.9565103,36.828028
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.702,100.9613133,36.536747
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.842,100.9660763,36.249307
36.4,653.7,43.5,2500,0.5,1649.6,0,0,22.981,100.9681976,35.968516
36.4,653.7,43.5,2500,0.5,1649.6,0,0,23.12,100.968828,35.692278
36.4,653.7,43.5,2500,0.5,1649.6,0,0,23.26,100.9692182,35.416797
36.4,653.7,43.5,2500,0.5,1649.6,0,0,23.399,100.9696385,35.147658
36.4,653.7,43.5,2500,0.5,1649.6,0,0,23.538,100.9709994,34.886102
36.4,653.7,43.5,2500,0.5,1649.6,0,0,23.677,100.9745316,34.63674
36.4,653.7,43.5,2500,0.5,1649.6,0,0,23.817,100.9786041,34.390813
36.4,653.7,43.5,2500,0.5,1649.6,0,0,23.956,100.9806053,34.151095
36.4,653.7,43.5,2500,0.5,1649.6,0,0,24.095,100.9811057,33.915035
36.4,653.7,43.5,2500,0.5,1649.6,0,0,24.234,100.9813358,33.683189
36.4,653.7,43.5,2500,0.5,1649.6,0,0,24.374,100.9815659,33.454032
36.4,653.7,43.5,2500,0.5,1649.6,0,0,24.513,100.9823564,33.230901
36.4,653.7,43.5,2500,0.5,1649.6,0,0,24.652,100.984928,33.012643
36.4,653.7,43.5,2500,0.5,1649.6,0,0,24.792,100.9883802,32.797556
36.4,653.7,43.5,2500,0.5,1649.6,0,0,24.931,100.9903314,32.587738
36.4,653.7,43.5,2500,0.5,1649.6,0,0,25.07,100.9908117,32.38903
36.4,653.7,43.5,2500,0.5,1649.6,0,0,25.209,100.9909618,32.194055
36.4,653.7,43.5,2500,0.5,1649.6,0,0,25.349,100.9911019,32.000476
36.4,653.7,43.5,2500,0.5,1649.6,0,0,25.488,100.9915522,31.811307
36.4,653.7,43.5,2500,0.5,1649.6,0,0,25.627,100.9933733,31.625869
36.4,653.7,43.5,2500,0.5,1649.6,0,0,25.767,100.9962551,31.442633
36.4,653.7,43.5,2500,0.5,1649.6,0,0,25.906,100.9981563,31.263983
36.4,653.7,43.5,2500,0.5,1649.6,0,0,26.045,100.9986466,31.088082
36.4,653.7,43.5,2500,0.5,1649.6,0,0,26.184,100.9987667,30.915405
36.4,653.7,43.5,2500,0.5,1649.6,0,0,26.324,100.9988467,30.747225
36.4,653.7,43.5,2500,0.5,1649.6,0,0,26.463,100.9990969,30.585587
